date,county,fips,doses_administered,new_doses_administered
2/28/2021,Merced,47,35334,1477
2/28/2021,Modoc,49,2111,1
2/28/2021,Mono,51,7778,8
2/28/2021,Monterey,53,72230,3286
2/28/2021,Napa,55,45834,991
2/28/2021,Nevada,57,23434,1001
2/28/2021,Orange,59,726840,29846
2/28/2021,Placer,61,109816,2951
2/28/2021,Plumas,63,3354,35
2/28/2021,Riverside,65,456617,11885
2/28/2021,Sacramento,67,293294,8004
2/28/2021,San Benito,69,8774,252
2/28/2021,San Bernardino,71,357433,7123
2/28/2021,San Diego,73,855520,22593
2/28/2021,San Francisco,75,225089,9086
2/28/2021,San Joaquin,77,128455,4865
2/28/2021,San Luis Obispo,79,62862,893
2/28/2021,San Mateo,81,212898,12837
2/28/2021,Santa Barbara,83,93461,2217
2/28/2021,Santa Clara,85,433717,10435
2/28/2021,Santa Cruz,87,80954,2908
2/28/2021,Shasta,89,29571,663
2/28/2021,Sierra,91,1047,8
2/28/2021,Siskiyou,93,10025,83
2/28/2021,Solano,95,89776,1215
2/28/2021,Sonoma,97,139350,3165
2/28/2021,Stanislaus,99,95915,1742
2/28/2021,Sutter,101,19137,182
2/28/2021,Tehama,103,9100,322
2/28/2021,Trinity,105,1760,22
2/28/2021,Tulare,107,70544,2805
2/28/2021,Tuolumne,109,15361,947
2/28/2021,Ventura,111,186702,8773
2/28/2021,Yolo,113,54145,1518
2/28/2021,Yuba,115,9440,122
2/27/2021,Alameda,1,388671,11775
2/27/2021,Alpine,3,483,30
2/27/2021,Amador,5,9090,379
2/27/2021,Butte,7,55768,945
2/27/2021,Calaveras,9,10596,541
2/27/2021,Colusa,11,3180,145
2/27/2021,Contra Costa,13,307601,8111
2/27/2021,Del Norte,15,3352,79
2/27/2021,El Dorado,17,41040,1128
2/27/2021,Fresno,19,176217,4654
2/27/2021,Glenn,21,5352,307
2/27/2021,Humboldt,23,29390,997
2/27/2021,Imperial,25,26106,1559
2/27/2021,Inyo,27,4076,28
2/27/2021,Kern,29,123925,4632
2/27/2021,Kings,31,13035,547
2/27/2021,Lake,33,12224,511
2/27/2021,Lassen,35,3976,72
2/27/2021,Los Angeles,37,2049666,56521
2/27/2021,Madera,39,26526,896
2/27/2021,Marin,41,82227,2613
2/27/2021,Mariposa,43,2434,73
2/27/2021,Mendocino,45,27098,1188
2/27/2021,Merced,47,33857,1750
2/27/2021,Modoc,49,2110,19
2/27/2021,Mono,51,7770,3
2/27/2021,Monterey,53,68944,2527
2/27/2021,Napa,55,44843,1195
2/27/2021,Nevada,57,22433,469
2/27/2021,Orange,59,696994,17498
2/27/2021,Placer,61,106865,1354
2/27/2021,Plumas,63,3319,224
2/27/2021,Riverside,65,444732,18585
2/27/2021,Sacramento,67,285290,7072
2/27/2021,San Benito,69,8522,407
2/27/2021,San Bernardino,71,350310,9750
2/27/2021,San Diego,73,832927,27087
2/27/2021,San Francisco,75,216003,9158
2/27/2021,San Joaquin,77,123590,4361
2/27/2021,San Luis Obispo,79,61969,1989
2/27/2021,San Mateo,81,200061,4632
2/27/2021,Santa Barbara,83,91244,3466
2/27/2021,Santa Clara,85,423282,7999
2/27/2021,Santa Cruz,87,78046,1748
2/27/2021,Shasta,89,28908,1552
2/27/2021,Sierra,91,1039,24
2/27/2021,Siskiyou,93,9942,429
2/27/2021,Solano,95,88561,1361
2/27/2021,Sonoma,97,136185,3768
2/27/2021,Stanislaus,99,94173,3467
2/27/2021,Sutter,101,18955,419
2/27/2021,Tehama,103,8778,452
2/27/2021,Trinity,105,1738,18
2/27/2021,Tulare,107,67739,2722
2/27/2021,Tuolumne,109,14414,613
2/27/2021,Ventura,111,177929,5394
2/27/2021,Yolo,113,52627,1326
2/27/2021,Yuba,115,9318,262
2/26/2021,Alameda,1,376896,12480
2/26/2021,Alpine,3,453,3
2/26/2021,Amador,5,8711,381
2/26/2021,Butte,7,54823,1684
2/26/2021,Calaveras,9,10055,384
2/26/2021,Colusa,11,3035,183
2/26/2021,Contra Costa,13,299490,9131
2/26/2021,Del Norte,15,3273,79
2/26/2021,El Dorado,17,39912,784
2/26/2021,Fresno,19,171563,4241
2/26/2021,Glenn,21,5045,277
2/26/2021,Humboldt,23,28393,843
2/26/2021,Imperial,25,24547,464
2/26/2021,Inyo,27,4048,250
2/26/2021,Kern,29,119293,4325
2/26/2021,Kings,31,12488,608
2/26/2021,Lake,33,11713,387
2/26/2021,Lassen,35,3904,96
2/26/2021,Los Angeles,37,1993145,50217
2/26/2021,Madera,39,25630,500
2/26/2021,Marin,41,79614,2942
2/26/2021,Mariposa,43,2361,281
2/26/2021,Mendocino,45,25910,1063
2/26/2021,Merced,47,32107,1125
2/26/2021,Modoc,49,2091,182
2/26/2021,Mono,51,7767,8
2/26/2021,Monterey,53,66417,3139
2/26/2021,Napa,55,43648,794
2/26/2021,Nevada,57,21964,602
2/26/2021,Orange,59,679496,19077
2/26/2021,Placer,61,105511,2471
2/26/2021,Plumas,63,3095,232
2/26/2021,Riverside,65,426147,11829
2/26/2021,Sacramento,67,278218,7058
2/26/2021,San Benito,69,8115,285
2/26/2021,San Bernardino,71,340560,10148
2/26/2021,San Diego,73,805840,27297
2/26/2021,San Francisco,75,206845,6858
2/26/2021,San Joaquin,77,119229,5735
2/26/2021,San Luis Obispo,79,59980,1989
2/26/2021,San Mateo,81,195429,3943
2/26/2021,Santa Barbara,83,87778,3777
2/26/2021,Santa Clara,85,415283,11045
2/26/2021,Santa Cruz,87,76298,3377
2/26/2021,Shasta,89,27356,505
2/26/2021,Sierra,91,1015,92
2/26/2021,Siskiyou,93,9513,285
2/26/2021,Solano,95,87200,1707
2/26/2021,Sonoma,97,132417,5036
2/26/2021,Stanislaus,99,90706,2449
2/26/2021,Sutter,101,18536,888
2/26/2021,Tehama,103,8326,308
2/26/2021,Trinity,105,1720,33
2/26/2021,Tulare,107,65017,3276
2/26/2021,Tuolumne,109,13801,476
2/26/2021,Ventura,111,172535,3605
2/26/2021,Yolo,113,51301,1677
2/26/2021,Yuba,115,9056,394
2/25/2021,Alameda,1,364416,13586
2/25/2021,Alpine,3,450,0
2/25/2021,Amador,5,8330,299
2/25/2021,Butte,7,53139,2793
2/25/2021,Calaveras,9,9671,209
2/25/2021,Colusa,11,2852,90
2/25/2021,Contra Costa,13,290359,8598
2/25/2021,Del Norte,15,3194,156
2/25/2021,El Dorado,17,39128,990
2/25/2021,Fresno,19,167322,4231
2/25/2021,Glenn,21,4768,157
